City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,mahibadhoo,3.7833,72.9667,28.0,72,13,1.72,MV,1731302585
316,moapa valley,36.5805,-114.4703,12.7,30,51,0.92,US,1731302586
317,vorgashor,67.5833,63.95,-17.22,100,92,2.68,RU,1731302587
318,pathein,16.7833,94.7333,28.61,73,54,4.52,MM,1731302588
319,bodo,67.28,14.405,3.02,81,100,4.63,NO,1731302589
320,xilin hot,43.9667,116.0333,7.7,32,22,8.82,CN,1731302590
321,fada,7.25,4.0667,24.37,88,47,1.03,NG,1731302591
322,lihue,21.9789,-159.3672,23.77,93,100,8.75,US,1731302592
323,alta sierra,35.7291,-118.5495,5.68,29,11,2.13,US,1731302594
324,urangan,-25.3,152.9,24.96,76,79,7.14,AU,1731302595
325,oral,51.2333,51.3667,-1.01,86,0,3.0,KZ,1731302596
326,verdal,63.7933,11.4817,3.23,79,92,1.34,NO,1731302597
327,zadar,44.1197,15.2422,9.34,46,0,8.75,HR,1731302598
328,cockburn town,21.4612,-71.1419,27.83,81,62,9.33,TC,1731302599
329,montevideo,-34.8335,-56.1674,18.84,94,0,7.2,UY,1731302040
330,minas de matahambre,22.5887,-83.9447,22.01,90,19,1.98,CU,1731302601
331,bavly,54.393,53.2602,-4.09,78,7,3.48,RU,1731302603
332,orcopampa,-15.2661,-72.3417,7.03,56,71,1.6,PE,1731302593
333,sa'dah,16.9402,43.7639,15.58,39,0,2.85,YE,1731302605
334,lufilufi,-13.8745,-171.5986,27.49,82,31,7.45,WS,1731302607
335,radebeul,51.1065,13.6605,0.62,100,75,2.06,DE,1731302608
336,richland center,43.3347,-90.3868,9.99,94,35,3.29,US,1731302609
337,charters towers,-20.1,146.2667,35.46,24,11,8.18,AU,1731302610
338,verkhotur'ye,58.8627,60.8054,-7.28,80,21,2.76,RU,1731302611
339,nuku'alofa,-21.1333,-175.2,24.19,88,100,4.12,TO,1731302361
340,saint joseph,39.7686,-94.8466,6.79,93,0,2.06,US,1731302534
341,santa ana,33.7456,-117.8678,16.96,59,20,0.0,US,1731302614
342,raja,8.4596,25.678,24.76,70,100,1.34,SS,1731302615
343,colachel,8.1667,77.25,29.84,56,8,1.44,IN,1731302616
344,alice springs,-23.7,133.8833,33.75,29,65,5.66,AU,1731302617
345,suntar,62.1444,117.6319,-11.42,92,100,2.29,RU,1731302474
346,bintulu,3.1667,113.0333,28.23,88,40,1.54,MY,1731302620
347,revda,56.801,59.9303,-6.43,91,100,4.33,RU,1731302622
348,emerald,-23.5333,148.1667,35.75,31,29,5.44,AU,1731302623
349,al hasakah,36.5024,40.7477,15.27,55,3,2.08,SY,1731302624
350,alesund,62.4723,6.1549,9.86,87,75,4.12,NO,1731302625
351,strathalbyn,-35.2667,138.9,18.48,66,75,4.11,AU,1731302626
